title,company,location,city,postal_code,responsibilities,url,page_number,scraped_date
software engineer,"Employer details


RBC Dominion Securities","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48753056;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:24
software engineer,"Employer details


Scotiabank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48293579;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:25
software engineer,"Employer details


Scotiabank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48456935;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:27
software engineer,"Employer details


TimePlay","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48570896;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:28
software engineer,"Employer details


RBC Dominion Securities","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48758721;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:29
software engineer,"Employer details


TD Bank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48624030;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:31
software engineer,"Employer details


Scotiabank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/47921810;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:32
software engineer,"Employer details


Micromart","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48619667;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:33
software engineer,"Employer details


Micromart","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48593056;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:34
software engineer,"Employer details


RBC Dominion Securities","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48665823;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:35
software engineer,"Employer details


Inbox Monster","Burlington, ON","Burlington, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48188981;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:37
software engineer,"Employer details


Scotiabank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48539583;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:38
software engineer,"Employer details


Scotiabank","Stratford, ON","Stratford, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48293094;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:39
software engineer,"Employer details


TD Bank","London, ON","London, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48455559;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:41
software engineer,"Employer details


TD Bank","London, ON","London, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48425175;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:42
software engineer,"Employer details


TD Bank","London, ON","London, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48722820;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:43
software engineer,"Employer details


Scotiabank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48293985;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:44
software engineer,"Employer details


Scotiabank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48295072;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:46
software engineer,"Employer details


Pack-Smart Incorporated","Concord, ONL4K 0B3","Concord, ONL4K 0B3",,"Coordinate the development, installation, integration and operation of computer-based systems | Define system functionality | Develop process and network models to optimize architecture | Develop software solutions by studying systems flow, data usage and work processes | Evaluate the performance and reliability of system designs | Execute full lifecycle software development | Prepare plan to maintain software | Research technical information to design, develop and test computer-based systems | Robotic process automation | Operate automatic or other testing equipment to ensure product quality",https://www.jobbank.gc.ca/jobsearch/jobposting/47534461;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:49
software engineer,"Employer details


Micromart","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48593407;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:50
software engineer,"Employer details


Scotiabank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/47921868;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:51
"engineer, software","Employer details


TD Bank","Toronto, ON","Toronto, ON",,,https://www.jobbank.gc.ca/jobsearch/jobposting/48707450;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:52
software engineer,"Employer details


Trufla Technology","Calgary, ABT2P 1J2","Calgary, ABT2P 1J2",,"Collect and document user's requirements | Develop software solutions by studying systems flow, data usage and work processes | Evaluate the performance and reliability of system designs | Execute full lifecycle software development | Lead and co-ordinate teams of information systems professionals in the development of software and integrated information systems, process control software and other embedded software control systems",https://www.jobbank.gc.ca/jobsearch/jobposting/48613918;jsessionid=B435FFDCF81AF5CEF888467CA9751FE1.jobsearch76?source=searchresults,1,2026-02-03 15:59:53
